675004;3575676750049
675005;3575676750056
675006;3575676750063
675007;3575676750070
675011;3575676750117
675012;3575676750124
675013;3575676750131
675014;3575676750148
675015;3575676750155
675016;3575676750162
675020;3575676750209
675021;3575676750216
675041;3575676750414
675042;3575676750421
675056;3575676750568
675070;3575676750704
675075;3575676750759
675076;3575676750766
675077;3575676750773
675078;3575676750780
675080;3575676750803
675098;3575676750988
675105;3575676751053
675107;3575676751077
675170;3575676751701
675201;3575676752012
675230;3575676752302
675270;3575676752708
675271;3575676752715
675274;3575676752746
675275;3575676752753
675276;3575676752760
675277;3575676752777
675278;3575676752784
675279;3575676752791
675280;3575676752807
675281;3575676752814
675282;3575676752821
675361;3575676753613
675371;3575676753712
675510;3575676755105
675601;3575676756010
REF;GENCOD
715001;3575677150015
715002;3575677150022
715005;3575677150053
715006;3575677150060
715007;3575677150077
715008;3575677150084
715010;3575677150107
715011;3575677150114
715014;3575677150145
715015;3575677150152
715016;3575677150169
715017;3575677150176
715018;3575677150183
715020;3575677150206
715021;3575677150213
715022;3575677150220
715023;3575677150237
715024;3575677150244
715026;3575677150268
715027;3575677150275
715028;3575677150282
715041;3575677150411
715042;3575677150428
715056;3575677150565
715057;3575677150572
715058;3575677150589
715059;3575677150596
715060;3575677150602
715070;3575677150701
715071;3575677150718
715072;3575677150725
715073;3575677150732
715075;3575677150756
715076;3575677150763
715077;3575677150770
715078;3575677150787
715080;3575677150800
715081;3575677150817
715089;3575677150893
715105;3575677151050
715106;3575677151067
715107;3575677151074
715131;3575677151319
715132;3575677151326
715133;3575677151333
715150;3575677151500
715151;3575677151517
715152;3575677151524
715153;3575677151531
715170;3575677151708
715175;3575677151753
715176;3575677151760
715230;3575677152309
715250;3575677152507
715272;3575677152729
715275;3575677152750
715360;3575677153603
715370;3575677153702
715371;3575677153719
715372;3575677153726
715373;3575677153733
715600;3575677156000
715601;3575677156017
715800;3575677158004
715801;3575677158011
715802;3575677158028
715803;3575677158035
715804;3575677158042
715805;3575677158059
715806;3575677158066
715807;3575677158073
REF;GENCOD
669003;3575676690031
669004;3575676690048
669007;3575676690079
669008;3575676690086
669009;3575676690093
669010;3575676690109
669011;3575676690116
669012;3575676690123
669015;3575676690154
669016;3575676690161
669017;3575676690178
669020;3575676690208
669021;3575676690215
669022;3575676690222
669014;3575676690147
669023;3575676690239
669024;3575676690246
669025;3575676690253
669026;3575676690260
669027;3575676690277
669028;3575676690284
669041;3575676690413
669056;3575676690567
669057;3575676690574
669070;3575676690703
669072;3575676690727
669073;3575676690734
669074;3575676690741
669075;3575676690758
669076;3575676690765
669077;3575676690772
669078;3575676690789
669079;3575676690796
669081;3575676690819
669082;3575676690826
669089;3575676690895
669105;3575676691052
669106;3575676691069
669107;3575676691076
669131;3575676691311
669133;3575676691335
669134;3575676691342
669135;3575676691359
669170;3575676691700
669201;3575676692011
669240;3575676692400
669241;3575676692417
669250;3575676692509
669270;3575676692707
669271;3575676692714
669272;3575676692721
669273;3575676692738
669275;3575676692752
669281;3575676692813
669360;3575676693605
669370;3575676693704
669371;3575676693711
669372;3575676693728
669373;3575676693735
669374;3575676693742
669375;3575676693759
669376;3575676693766
669377;3575676693773
669544;3575676695449
669545;3575676695456
669546;3575676695463
669547;3575676695470
669725;3575676697252
669726;3575676697269
669727;3575676697276
669728;3575676697283
669747;3575676697474
669748;3575676697481
669749;3575676697498
669750;3575676697504
669751;3575676697511
669753;3575676697535
669754;3575676697542
669755;3575676697559
669756;3575676697566
669800;3575676698006
669801;3575676698013
669802;3575676698020
669803;3575676698037
669804;3575676698044
669805;3575676698051
669806;3575676698068
669807;3575676698075
669810;3575676698105
102642;
102633;
REF;GENCOD
666004;3575676660041
666005;3575676660058
666006;3575676660065
666007;3575676660072
666008;3575676660089
666010;3575676660102
666011;3575676660119
666012;3575676660126
666013;3575676660133
666015;3575676660157
666016;3575676660164
666017;3575676660171
666020;3575676660201
666021;3575676660218
666022;3575676660225
